nodes,p,steps,end
20,0.1,1,1
20,0.1,7,1
20,0.1,5,2
20,0.1,16,2
20,0.1,3,2
20,0.1,37,2
20,0.1,15,2
20,0.1,18,2
20,0.1,15,2
20,0.1,24,2
20,0.1,15,2
20,0.1,2,1
20,0.1,130,2
20,0.1,7,2
20,0.1,24,2
20,0.1,27,2
20,0.1,27,2
20,0.1,19,2
20,0.1,17,2
20,0.1,1,1
20,0.1,14,2
20,0.1,11,2
20,0.1,15,2
20,0.1,17,2
20,0.1,26,2
20,0.1,2,1
20,0.1,28,2
20,0.1,4,2
20,0.1,17,2
20,0.1,9,2
20,0.1,22,2
20,0.1,13,2
20,0.1,1,1
20,0.1,10,2
20,0.1,144,2
20,0.1,14,2
20,0.1,16,2
20,0.1,17,2
20,0.1,133,2
20,0.1,10,2
20,0.1,3,2
20,0.1,1,1
20,0.1,3,2
20,0.1,9,2
20,0.1,13,2
20,0.1,14,2
20,0.1,10,2
20,0.1,8,2
20,0.1,45,2
20,0.1,1,1
20,0.1,1,1
20,0.1,8,2
20,0.1,7,1
20,0.1,15,2
20,0.1,15,2
20,0.1,3,2
20,0.1,1,1
20,0.1,25,2
20,0.1,25,2
20,0.1,3,2
20,0.1,8,2
20,0.1,18,2
20,0.1,61,2
20,0.1,5,2
20,0.1,1,1
20,0.1,13,2
20,0.1,21,2
20,0.1,18,2
20,0.1,3,2
20,0.1,40,2
20,0.1,15,2
20,0.1,38,2
20,0.1,7,2
20,0.1,13,2
20,0.1,30,2
20,0.1,14,2
20,0.1,3,2
20,0.1,3,2
20,0.1,45,2
20,0.1,1,1
20,0.1,23,2
20,0.1,46,2
20,0.1,3,2
20,0.1,144,2
20,0.1,1,1
20,0.1,9,2
20,0.1,3,2
20,0.1,8,2
20,0.1,26,2
20,0.1,40,2
20,0.1,17,2
20,0.1,17,2
20,0.1,2,1
20,0.1,1,1
20,0.1,1,1
20,0.1,12,2
20,0.1,7,2
20,0.1,14,2
20,0.1,21,2
20,0.1,1,1
20,0.1,4,2
20,0.1,17,2
20,0.1,18,2
20,0.1,1,1
20,0.1,23,2
20,0.1,185,2
20,0.1,6,2
20,0.1,13,2
20,0.1,1,1
20,0.1,1,1
20,0.1,12,1
20,0.1,16,2
20,0.1,30,2
20,0.1,22,2
20,0.1,25,2
20,0.1,1,1
20,0.1,3,1
