Step,Function,Nodes,p,changes,cycling check,Is isomorphic,Test result,Test execution time,NX execution time
4,dummy_test,10,0.2,3,1,False,False,0.0009996891021728516,0.0
4,first_test,10,0.2,3,1,False,False,0.0,0.0
4,second_test,10,0.2,3,1,False,False,0.0,0.0
4,third_test,10,0.2,3,1,False,False,0.0,0.0
5,dummy_test,10,0.2,3,1,False,False,0.0,0.0
5,first_test,10,0.2,3,1,False,False,0.0,0.0
5,second_test,10,0.2,3,1,False,False,0.0,0.0
5,third_test,10,0.2,3,1,False,False,0.0,0.0
6,dummy_test,10,0.2,3,1,False,False,0.0,0.0
6,first_test,10,0.2,3,1,False,False,0.0,0.0
6,second_test,10,0.2,3,1,False,False,0.0015044212341308594,0.0
6,third_test,10,0.2,3,1,False,False,0.0,0.0
7,dummy_test,10,0.2,3,1,False,False,0.0,0.0005311965942382812
7,first_test,10,0.2,3,1,False,False,0.0,0.0005311965942382812
7,second_test,10,0.2,3,1,False,False,0.0,0.0005311965942382812
7,third_test,10,0.2,3,1,False,False,0.0,0.0005311965942382812
8,dummy_test,10,0.2,3,1,False,False,0.0,0.0010416507720947266
8,first_test,10,0.2,3,1,False,False,0.0,0.0010416507720947266
8,second_test,10,0.2,3,1,False,True,0.0,0.0010416507720947266
8,third_test,10,0.2,3,1,False,True,0.0,0.0010416507720947266
9,dummy_test,10,0.2,3,1,False,False,0.0,0.0
9,first_test,10,0.2,3,1,False,False,0.0,0.0
9,second_test,10,0.2,3,1,False,False,0.0,0.0
9,third_test,10,0.2,3,1,False,False,0.0,0.0
0,dummy_test,10,0.2,3,5,False,False,0.0,0.0
0,first_test,10,0.2,3,5,False,False,0.0,0.0
0,second_test,10,0.2,3,5,False,False,0.0,0.0
0,third_test,10,0.2,3,5,False,False,0.0009965896606445312,0.0
1,dummy_test,10,0.2,3,5,False,True,0.0,0.0
1,first_test,10,0.2,3,5,False,False,0.0,0.0
1,second_test,10,0.2,3,5,False,False,0.0,0.0
1,third_test,10,0.2,3,5,False,True,0.0,0.0
2,dummy_test,10,0.2,3,5,False,False,0.0010018348693847656,0.0
2,first_test,10,0.2,3,5,False,False,0.0,0.0
2,second_test,10,0.2,3,5,False,False,0.0,0.0
2,third_test,10,0.2,3,5,False,False,0.0,0.0
3,dummy_test,10,0.2,3,5,False,False,0.0,0.0
3,first_test,10,0.2,3,5,False,False,0.0,0.0
3,second_test,10,0.2,3,5,False,False,0.0,0.0
3,third_test,10,0.2,3,5,False,False,0.0,0.0
4,dummy_test,10,0.2,3,5,False,False,0.0,0.0
4,first_test,10,0.2,3,5,False,False,0.0,0.0
4,second_test,10,0.2,3,5,False,True,0.0,0.0
4,third_test,10,0.2,3,5,False,True,0.0009982585906982422,0.0
5,dummy_test,10,0.2,3,5,False,False,0.0,0.0
5,first_test,10,0.2,3,5,False,False,0.0,0.0
5,second_test,10,0.2,3,5,False,False,0.0,0.0
5,third_test,10,0.2,3,5,False,True,0.00099945068359375,0.0
6,dummy_test,10,0.2,3,5,False,False,0.0,0.0
6,first_test,10,0.2,3,5,False,True,0.0,0.0
6,second_test,10,0.2,3,5,False,True,0.0010132789611816406,0.0
6,third_test,10,0.2,3,5,False,False,0.0,0.0
7,dummy_test,10,0.2,3,5,False,False,0.0,0.0
7,first_test,10,0.2,3,5,False,False,0.0,0.0
7,second_test,10,0.2,3,5,False,False,0.0,0.0
7,third_test,10,0.2,3,5,False,False,0.0,0.0
8,dummy_test,10,0.2,3,5,False,False,0.0,0.0
8,first_test,10,0.2,3,5,False,False,0.0,0.0
8,second_test,10,0.2,3,5,False,False,0.0015041828155517578,0.0
8,third_test,10,0.2,3,5,False,False,0.0,0.0
9,dummy_test,10,0.2,3,5,False,True,0.0,0.0
9,first_test,10,0.2,3,5,False,False,0.0,0.0
9,second_test,10,0.2,3,5,False,True,0.0,0.0
9,third_test,10,0.2,3,5,False,False,0.0010037422180175781,0.0
0,dummy_test,10,0.2,3,10,False,False,0.0010523796081542969,0.0
0,first_test,10,0.2,3,10,False,False,0.0,0.0
0,second_test,10,0.2,3,10,False,False,0.0,0.0
0,third_test,10,0.2,3,10,False,False,0.0,0.0
1,dummy_test,10,0.2,3,10,False,False,0.0,0.0
1,first_test,10,0.2,3,10,False,False,0.0,0.0
1,second_test,10,0.2,3,10,False,False,0.0,0.0
1,third_test,10,0.2,3,10,False,False,0.0,0.0
2,dummy_test,10,0.2,3,10,False,False,0.00099945068359375,0.0
2,first_test,10,0.2,3,10,False,False,0.0,0.0
2,second_test,10,0.2,3,10,False,False,0.0,0.0
2,third_test,10,0.2,3,10,False,False,0.0,0.0
3,dummy_test,10,0.2,3,10,False,False,0.0,0.0
3,first_test,10,0.2,3,10,False,False,0.0,0.0
3,second_test,10,0.2,3,10,False,False,0.0,0.0
3,third_test,10,0.2,3,10,False,False,0.0009996891021728516,0.0
4,dummy_test,10,0.2,3,10,False,False,0.0,0.0
4,first_test,10,0.2,3,10,False,False,0.0,0.0
4,second_test,10,0.2,3,10,False,False,0.0,0.0
4,third_test,10,0.2,3,10,False,False,0.0,0.0
5,dummy_test,10,0.2,3,10,False,True,0.0,0.0
5,first_test,10,0.2,3,10,False,False,0.0,0.0
5,second_test,10,0.2,3,10,False,True,0.0,0.0
5,third_test,10,0.2,3,10,False,True,0.0010075569152832031,0.0
6,dummy_test,10,0.2,3,10,False,False,0.0,0.0
6,first_test,10,0.2,3,10,False,False,0.0009937286376953125,0.0
6,second_test,10,0.2,3,10,False,True,0.0,0.0
6,third_test,10,0.2,3,10,False,False,0.0009992122650146484,0.0
7,dummy_test,10,0.2,3,10,False,False,0.0,0.0
7,first_test,10,0.2,3,10,False,False,0.0,0.0
7,second_test,10,0.2,3,10,False,False,0.0,0.0
7,third_test,10,0.2,3,10,False,True,0.0009999275207519531,0.0
8,dummy_test,10,0.2,3,10,False,False,0.0,0.0
8,first_test,10,0.2,3,10,False,False,0.0,0.0
8,second_test,10,0.2,3,10,False,False,0.0,0.0
8,third_test,10,0.2,3,10,False,False,0.0,0.0
9,dummy_test,10,0.2,3,10,False,False,0.0,0.0
9,first_test,10,0.2,3,10,False,False,0.0,0.0
9,second_test,10,0.2,3,10,False,False,0.0,0.0
9,third_test,10,0.2,3,10,False,False,0.0,0.0
0,dummy_test,20,0.2,1,1,False,False,0.0,0.0
